model_size,minimum,median,maximum,allocations,memory_estimate
5,41.431451612903224,56.25,110.18145161290323,3,48
6,43.04435483870968,57.86290322580645,109.87903225806451,3,48
7,45.060483870967744,59.17338709677419,116.43145161290323,3,48
8,44.65725806451613,59.87903225806452,111.89516129032258,3,48
9,46.57258064516129,61.693548387096776,114.51612903225806,3,48
10,48.23410696266397,62.7648839556004,114.22805247225025,3,48
11,47.479838709677416,62.903225806451616,118.6491935483871,3,48
12,51.25881168177241,65.15609264853978,117.82477341389728,3,48
13,51.059535822401614,65.48940464177598,119.17255297679112,3,48
14,51.564076690211905,66.49848637739657,151.66498486377395,3,48
15,54.80283114256825,69.26188068756319,127.60364004044489,3,48
16,54.84848484848485,69.1919191919192,122.72727272727273,3,48
17,54.64646464646464,69.29292929292929,135.25252525252526,3,48
18,55.62310030395137,70.51671732522796,123.30293819655522,3,48
19,58.05471124620061,71.8338399189463,124.41742654508612,3,48
20,57.95339412360689,72.94832826747721,127.96352583586626,3,48
21,62.31003039513678,76.59574468085107,137.4873353596758,3,48
22,60.609137055837564,76.44670050761421,127.71573604060913,3,48
23,62.20871327254306,78.419452887538,132.016210739615,3,48
24,62.86876907426246,79.65412004069177,135.40183112919632,3,48
25,66.05504587155963,82.16106014271152,135.88175331294596,3,48
26,69.58290946083419,83.11291963377415,137.7416073245168,3,48
27,67.37588652482269,82.97872340425532,177.40628166160081,3,48
28,72.36438075742068,88.0245649948823,137.35926305015354,3,48
29,72.65306122448979,87.04081632653062,147.3469387755102,3,48
30,75.86912065439672,90.38854805725971,150.10224948875256,3,48
