model_size,minimum,median,maximum,allocations,memory_estimate
5,474200.0,493950.0,604600.0,2892,219264
6,560700.0,588800.0,728500.0,3723,283992
7,633000.0,661600.0,833100.0,4469,339664
8,692200.0,731600.0,933100.0,5186,402728
9,776100.0,800650.0,1.0099e6,6001,463800
10,828200.0,859800.0,1.0637e6,6651,512088
11,909000.0,950850.0,1.1539e6,7515,574312
12,973600.0,1.0035e6,1.164e6,8126,645112
13,1.0496e6,1.105e6,1.2581e6,8967,703288
14,1.109e6,1.15315e6,1.3208e6,9661,754352
15,1.1716e6,1.2282e6,1.348e6,10337,807616
16,1.2315e6,1.2898e6,1.3904e6,11108,862048
17,1.2908e6,1.3651e6,1.4607e6,11862,917512
18,1.381e6,1.42415e6,1.5067e6,12563,970032
19,1.4487e6,1.493e6,1.6005e6,13319,1025720
20,1.5063e6,1.5673e6,1.6814e6,14019,1078928
21,1.5742e6,1.63405e6,1.8013e6,14763,1145216
22,1.6393e6,1.69625e6,1.9692e6,15483,1197648
23,1.7135e6,1.7675e6,2.1279e6,16251,1261432
24,1.7813e6,1.8458e6,2.182e6,16949,1313008
25,1.8392e6,1.9072e6,2.3319e6,17734,1379872
26,1.9211e6,1.98475e6,2.3525e6,18434,1445440
27,1.9745e6,2.06055e6,2.4337e6,19215,1507496
28,2.0355e6,2.126e6,2.5491e6,20000,1569512
29,2.1059e6,2.1817e6,2.571e6,20735,1619016
30,2.1496e6,2.2553e6,2.6277e6,21466,1672912
