model_size,minimum,median,maximum,allocations,memory_estimate
5,73800.0,92000.0,4.5779e7,1753,146096
6,100100.0,121800.0,4.55969e7,2298,192288
7,120500.0,145900.0,4.72486e7,2762,231504
8,138900.0,168400.0,4.87513e7,3191,267664
9,159500.0,193700.0,5.13681e7,3680,309904
10,179600.0,216000.0,5.19105e7,4089,344128
11,203200.0,242600.0,5.38049e7,4627,387456
12,218800.0,261900.0,5.5539e7,4995,423520
13,242400.0,290400.0,5.77854e7,5510,462832
14,262200.0,296000.0,6.98558e7,5921,497392
15,285600.0,381700.0,2.5052425e9,6355,536672
16,346300.0,449200.0,2.7244594e9,6801,572224
17,376900.0,444100.0,2.859942e9,7271,611104
18,411000.0,472000.0,3.708335e8,7689,647280
19,440100.0,503800.0,3.906754e8,8161,686448
20,473900.0,530400.0,3.2536783e9,8578,723312
21,512100.0,571400.0,3.402277e9,9080,775456
22,550600.0,600600.0,3.566363e9,9475,809008
23,577700.0,633800.0,3.7211765e9,9959,856208
24,611300.0,666600.0,3.8862419e9,10374,891440
25,642000.0,706900.0,4.988328e8,10916,939712
26,666100.0,727600.0,5.011476e8,11279,968432
27,562500.0,759000.0,5.308147e8,11754,1008032
28,583800.0,835400.0,5.301715e8,12280,1055504
29,615000.0,831000.0,5.409501e8,12665,1085888
30,636100.0,863300.0,5.515883e8,13092,1122752
