model_size,minimum,median,maximum,allocations,memory_estimate
5,34.53815261044177,41.06425702811245,138.6546184738956,1,64
6,46.57258064516129,53.83064516129032,147.88306451612902,1,64
7,71.18126272912424,78.41140529531569,190.5295315682281,1,64
8,114.94623655913979,121.72043010752688,260.64516129032256,1,64
9,204.0247678018576,213.00309597523218,340.40247678018574,1,64
10,345.662100456621,358.4474885844749,714.6118721461187,1,64
11,612.5,640.9090909090909,1920.4545454545455,1,64
12,1220.0,1260.0,5940.0,1,64
13,2500.0,2566.6666666666665,8188.888888888889,1,64
14,4342.857142857143,4428.571428571428,8257.142857142857,1,64
15,7575.0,7725.0,18975.0,1,64
16,14900.0,15200.0,50300.0,1,64
17,42700.0,43200.0,86200.0,1,64
18,76600.0,77400.0,146100.0,1,64
19,131800.0,133200.0,243300.0,1,64
20,229000.0,231200.0,401500.0,1,64
21,386400.0,391600.0,753400.0,1,64
22,661000.0,667000.0,982200.0,1,64
23,1.1146e6,1.1288e6,1.5593e6,1,64
24,1.8832e6,1.8961e6,2.5001e6,1,64
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
