model_size,minimum,median,maximum,allocations,memory_estimate
5,35.27638190954774,51.85929648241206,6587.537688442211,1,64
6,47.77777777777778,72.32323232323232,6038.484848484848,1,64
7,71.63412127440904,117.67728674203494,6891.6752312435765,1,64
8,105.61440677966101,155.56144067796612,6519.067796610169,1,64
9,172.40437158469945,228.14207650273224,8369.398907103825,1,64
10,272.6984126984127,371.74603174603175,19216.507936507936,1,64
11,436.8686868686869,461.1111111111111,27976.262626262625,1,64
12,734.1085271317829,1274.4186046511627,55881.395348837206,1,64
13,1420.0,1450.0,7480.0,1,64
14,2666.6666666666665,4088.8888888888887,10600.0,1,64
15,4257.142857142857,7300.0,19628.571428571428,1,64
16,6880.0,11260.0,22420.0,1,64
17,11900.0,19900.0,69700.0,1,64
18,33300.0,46100.0,382200.0,1,64
19,57300.0,69800.0,350400.0,1,64
20,92500.0,124000.0,457700.0,1,64
21,148600.0,172400.0,429200.0,1,64
22,243300.0,274400.0,571600.0,1,64
23,365100.0,439500.0,729600.0,1,64
24,595100.0,687300.0,1.1023e6,1,64
25,949900.0,1.0922e6,1.6008e6,1,64
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
