model_size,minimum,median,maximum,allocations,memory_estimate
5,224400.0,236400.0,8.3751e6,2875,118960
6,417100.0,436600.0,8.3451e6,5352,208528
7,776600.0,816900.0,8.374e6,9954,387664
8,1.4496e6,1.4887e6,9.7707e6,18364,717136
9,2.6839e6,2.82135e6,1.33855e7,33763,1263168
10,4.9377e6,4.9887e6,1.62702e7,61699,2392416
11,8.7579e6,8.8384e6,2.0014e7,111053,4093632
12,1.57177e7,1.58082e7,2.80895e7,197639,7672992
13,2.75135e7,2.76917e7,4.1903e7,348551,13016960
14,4.81307e7,4.86322e7,6.60772e7,610259,22026784
15,8.55114e7,8.73864e7,1.079887e8,1062133,39971968
16,1.51206e8,1.586394e8,1.8019e8,1839233,67305504
17,2.72251e8,2.871738e8,3.079636e8,3170915,113115232
18,5.011635e8,5.150459e8,5.609506e8,5445885,200939680
19,8.897632e8,9.0952715e8,9.810747e8,9321489,336598304
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
