model_size,minimum,median,maximum,allocations,memory_estimate
5,253900.0,280300.0,709500.0,3144,177952
6,445300.0,483800.0,1.4772e6,5470,307536
7,756400.0,818700.0,1.6245e6,9372,524480
8,1.2847e6,1.3604e6,2.2169e6,15643,869152
9,2.1394e6,2.3421e6,6.0768e6,25952,1432560
10,3.4688e6,3.6776e6,4.2096e6,43053,2360864
11,5.594e6,5.9229e6,7.435e6,71291,3885744
12,9.3194e6,9.77605e6,1.23429e7,117613,6370208
13,1.52589e7,1.592315e7,1.8882e7,193797,10432688
14,2.51706e7,2.62354e7,2.96968e7,319232,17084048
15,4.16401e7,4.34707e7,4.9918e7,525607,27967616
16,6.94333e7,7.22753e7,8.00854e7,864736,45754032
17,1.153256e8,1.1940565e8,1.301647e8,1421993,74825520
18,1.910181e8,1.988051e8,2.100591e8,2337914,122365376
19,3.226132e8,3.381791e8,3.518503e8,3842604,200074544
20,5.424609e8,5.581612e8,5.852351e8,6313758,327071024
21,9.206513e8,9.5518085e8,9.585261e8,10371196,534593088
22,1.5710124e9,1.5841265e9,2.050598e9,17032693,873724992
23,2.5528178e9,2.57820235e9,2.6035869e9,27966348,1427825040
24,4.3106453e9,4.6416915e9,4.9727377e9,45908456,2333071936
25,7.7383814e9,7.7383814e9,7.7383814e9,75345513,3811854320
26,1.25444296e10,1.25444296e10,1.25444296e10,123633510,6227372096
27,2.21336679e10,2.21336679e10,2.21336679e10,202828978,10172616272
28,3.83647209e10,3.83647209e10,3.83647209e10,332691198,16615777984
29,6.86969767e10,6.86969767e10,6.86969767e10,545597992,27137521968
30,1.055436632e11,1.055436632e11,1.055436632e11,894595212,44318189888
