model_size,minimum,median,maximum,allocations,memory_estimate
5,240000.0,249900.0,9.1608e6,3144,177952
6,419200.0,433850.0,9.5368e6,5470,307536
7,719900.0,737400.0,9.8931e6,9372,524480
8,1.2005e6,1.2232e6,1.05758e7,15643,869152
9,1.9951e6,2.0281e6,1.12838e7,25952,1432560
10,3.2833e6,3.3649e6,1.34049e7,43053,2360864
11,5.428e6,5.58405e6,1.6014e7,71291,3885744
12,8.8689e6,9.0416e6,1.98221e7,117613,6370208
13,1.4671e7,1.48189e7,2.60521e7,193797,10432688
14,2.41536e7,2.43404e7,3.73051e7,319232,17084048
15,3.98668e7,4.027385e7,5.61008e7,525607,27967616
16,6.61417e7,6.79416e7,8.61862e7,864736,45754032
17,1.101865e8,1.1548595e8,1.334162e8,1421993,74825520
18,1.878966e8,2.063475e8,2.216024e8,2337914,122365376
19,3.296538e8,3.387504e8,3.571947e8,3842604,200074544
20,5.73253e8,5.866735e8,6.342026e8,6313758,327071024
21,1.0138959e9,1.1144436e9,1.1335127e9,10371196,534593088
22,1.7473982e9,1.8878363e9,1.9496311e9,17032693,873724992
23,2.9551855e9,3.04243865e9,3.1296918e9,27966348,1427825040
24,5.0124166e9,5.0124166e9,5.0124166e9,45908456,2333071936
25,8.3591122e9,8.3591122e9,8.3591122e9,75345513,3811854320
26,1.39518501e10,1.39518501e10,1.39518501e10,123633510,6227372096
27,2.34088135e10,2.34088135e10,2.34088135e10,202828978,10172616272
28,3.88764438e10,3.88764438e10,3.88764438e10,332691198,16615777984
29,6.45679269e10,6.45679269e10,6.45679269e10,545597992,27137521968
30,1.070821307e11,1.070821307e11,1.070821307e11,894595212,44318189888
