model_size,minimum,median,maximum,allocations,memory_estimate
5,70.7267144319345,75.84442169907881,4412.487205731833,5,80
6,79.7741273100616,85.72895277207392,4557.700205338809,5,80
7,89.73029045643153,96.6804979253112,4562.0331950207465,5,80
8,102.24598930481284,109.94652406417113,4714.010695187166,5,80
9,118.92778993435448,129.43107221006565,4904.048140043764,5,80
10,169.81865284974094,181.7357512953368,5926.813471502591,5,80
11,230.59548254620123,247.84394250513347,10312.11498973306,5,80
12,263.29479768786126,280.63583815028903,15341.618497109826,5,80
13,308.641975308642,348.97119341563786,21822.222222222223,5,80
14,392.1182266009852,430.5418719211823,28668.472906403942,5,80
15,442.42424242424244,486.3636363636364,29987.37373737374,5,80
16,519.0721649484536,554.639175257732,30312.886597938144,5,80
17,576.5027322404371,620.7650273224044,34730.60109289618,5,80
18,665.6050955414013,711.4649681528663,39330.57324840764,5,80
19,750.8064516129032,791.9354838709677,52013.709677419356,5,80
20,832.9113924050633,883.5443037974684,85137.97468354431,5,80
21,895.9183673469388,946.9387755102041,1889.795918367347,5,80
22,992.3076923076923,1030.7692307692307,4769.2307692307695,5,80
23,1090.0,1130.0,3160.0,5,80
24,1180.0,1220.0,5600.0,5,80
25,1320.0,1370.0,5800.0,5,80
