model_size,minimum,median,maximum,allocations,memory_estimate
5,1.2793e6,1.4114e6,4.48375e7,16062,1171976
6,2.0162e6,2.1275e6,4.62652e7,26793,1964624
7,2.9453e6,3.0913e6,4.73775e7,39950,2978672
8,3.9788e6,4.3351e6,5.29693e7,56148,4144360
9,5.3924e6,5.9379e6,5.20828e7,75409,5599896
10,7.1623e6,7.943e6,5.47764e7,97264,7310176
11,9.0205e6,9.8862e6,5.78214e7,122819,9506080
12,1.15346e7,1.29323e7,6.16773e7,155231,11906816
13,1.40135e7,1.53171e7,6.47466e7,189209,14451088
14,1.74775e7,2.00742e7,2.23168e7,232701,18074776
15,2.07979e7,2.33465e7,7.30328e7,275074,21225088
16,2.43637e7,2.85534e7,7.71905e7,320718,24659160
17,2.82163e7,3.23537e7,8.36679e7,379628,29132744
18,3.40476e7,6.251385e7,8.8817e7,436549,33858168
19,4.02488e7,7.034715e7,9.59611e7,508079,39376240
20,4.787e7,1.008656e8,1.041922e8,579775,44989448
21,5.53255e7,1.101224e8,1.128145e8,668351,52102072
22,6.71482e7,1.20069e8,1.221244e8,752017,59963488
23,1.233816e8,1.301811e8,1.342953e8,843584,68822160
24,1.354793e8,1.422521e8,1.989696e8,955171,78319128
25,1.474103e8,1.5671795e8,2.109588e8,1087613,90161272
