model_size,minimum,median,maximum,allocations,memory_estimate
5,326600.0,392000.0,1.84625e7,7427,617184
6,601500.0,739750.0,2.16043e7,13102,1074256
7,970800.0,1.1417e6,2.15235e7,19906,1658544
8,1.381e6,1.6175e6,2.40996e7,28704,2394032
9,1.9637e6,2.3675e6,2.71535e7,38145,3276720
10,2.7149e6,3.343e6,2.79553e7,50081,4399520
11,3.5483e6,4.56485e6,3.15483e7,64619,5721056
12,4.6182e6,5.4519e6,3.47105e7,85071,7456272
13,5.8596e6,6.95435e6,3.66907e7,105840,9266720
14,7.7181e6,8.97405e6,1.33544e7,135127,12022608
15,9.3339e6,1.13345e7,4.47468e7,162250,14324176
16,1.14957e7,1.41369e7,4.55753e7,191392,16826320
17,1.41346e7,1.7498e7,4.81235e7,232703,20321856
18,1.7568e7,2.20215e7,5.22756e7,271178,23742160
19,2.11185e7,2.7033e7,5.72701e7,323174,28172944
20,2.58152e7,3.67199e7,6.12102e7,373979,32625232
21,3.33654e7,6.329625e7,6.73851e7,440873,38383344
22,3.97012e7,7.119335e7,7.4662e7,501452,43913504
23,4.74527e7,8.06175e7,8.30053e7,568836,51428576
24,5.49139e7,8.85659e7,9.05053e7,655656,59546240
25,9.72183e7,9.95665e7,1.32058e8,761720,69890240
