model_size,minimum,median,maximum,allocations,memory_estimate
5,81.99588477366255,87.55144032921811,3265.534979423868,1,80
6,211.66666666666666,219.66666666666666,5708.166666666667,1,80
7,486.734693877551,495.40816326530614,18045.408163265307,1,80
8,1020.0,1050.0,6970.0,1,80
9,2366.6666666666665,2433.3333333333335,7222.222222222223,1,80
10,4371.428571428572,4457.142857142857,9900.0,1,80
11,8000.0,8175.0,16025.0,1,80
12,19300.0,19600.0,52300.0,1,80
13,51300.0,51900.0,94600.0,1,80
14,88200.0,89100.0,132100.0,1,80
15,151800.0,153500.0,203500.0,1,80
16,252300.0,254800.0,350600.0,1,80
17,429200.0,433300.0,582000.0,1,80
18,709000.0,715600.0,979800.0,1,80
19,1.1692e6,1.1794e6,1.5836e6,5,144
