model_size,minimum,median,maximum,allocations,memory_estimate
5,618500.0,656900.0,5.9719e6,10092,399600
6,1.5549e6,1.6124e6,6.594e6,25151,939632
7,3.6687e6,3.8352e6,1.12621e7,59445,2259184
8,7.6503e6,7.9829e6,1.92209e7,124057,4473408
9,1.52896e7,1.71924e7,3.24214e7,249277,9256576
10,2.93851e7,3.08247e7,3.87554e7,469780,16856352
11,5.69266e7,6.36311e7,6.93046e7,871888,31787824
12,1.111393e8,1.152896e8,1.255016e8,1560460,56720576
13,2.069399e8,2.206537e8,2.413826e8,2777508,97902752
14,4.063318e8,4.1897525e8,4.547165e8,4835630,177158624
15,7.135224e8,7.345215e8,7.814952e8,8409410,300556256
16,1.3169498e9,1.5326997e9,1.5680276e9,14417090,508864032
17,2.3272085e9,2.5196351e9,2.7120617e9,24735328,884821056
18,4.3335968e9,4.6179304e9,4.902264e9,42031632,1504632832
19,1.0401253e10,1.0401253e10,1.0401253e10,81733234,2973021184
20,1.88767471e10,1.88767471e10,1.88767471e10,138171867,4915825920
21,3.63539799e10,3.63539799e10,3.63539799e10,243657373,8788336480
22,7.62733045e10,7.62733045e10,7.62733045e10,410448467,15000811344
23,1.422460766e11,1.422460766e11,1.422460766e11,692154270,25072777216
24,2.493793114e11,2.493793114e11,2.493793114e11,1162896350,41674542240
25,4.871581826e11,4.871581826e11,4.871581826e11,1955343574,70771469344
