model_size,minimum,median,maximum,allocations,memory_estimate
5,1.2957e6,1.3511e6,1.02935e7,19221,1079888
6,3.0125e6,3.1117e6,1.27838e7,42092,2372576
7,6.2131e6,6.4523e6,1.63668e7,85324,4805216
8,1.16974e7,1.21922e7,2.26043e7,159344,8940240
9,2.08722e7,2.19265e7,3.40143e7,287778,16068096
10,3.60307e7,3.77787e7,5.07637e7,497476,27607168
11,6.26099e7,6.52693e7,7.94388e7,848699,46798432
12,1.075447e8,1.188843e8,1.321025e8,1413790,77412848
13,1.807318e8,1.9526525e8,2.047075e8,2347091,127616064
14,3.172279e8,3.291734e8,3.478765e8,3842117,207378656
15,5.557908e8,5.776076e8,5.961644e8,6295636,337372800
16,9.190307e8,1.0265666e9,1.0648476e9,10219379,543609808
17,1.5740641e9,1.6899824e9,1.7323816e9,16633934,878467904
18,2.5917777e9,2.6883186e9,2.7848595e9,26918724,1411338224
19,4.3991515e9,4.52393875e9,4.648726e9,43718711,2276087648
20,7.2608581e9,7.2608581e9,7.2608581e9,70754308,3658003872
21,1.21109909e10,1.21109909e10,1.21109909e10,114931314,5902203008
22,2.01551088e10,2.01551088e10,2.01551088e10,186283936,9503613312
23,3.37402242e10,3.37402242e10,3.37402242e10,302952294,15358284016
24,5.57286456e10,5.57286456e10,5.57286456e10,491989009,24788140672
25,9.20731195e10,9.20731195e10,9.20731195e10,801279779,40133271568
